SB DEPTH (cm),SECT_NUM,SECT DEPTH (cm),DateTime,Core Thickness,Den1 (g/cc),MS1 (SI x 10^-5),FP,L*,a*,b*,X,Y,Z,Red (595 - 700),Green (515 - 595),Blue (400 - 515),360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740
242.2,4,0.2,06/11/2024 21:16,2.745,0.5526,-5.2,1.2746,39.7,0.15,3.45,10.54,11.07,10.8,11.6,11.14,9.83,8.28,8.46,8.74,8.95,9.11,9.18,9.42,9.47,9.84,9.97,10.1,10,10.14,10.03,10.19,10.5,10.88,11.03,11.02,11.01,11.2,11.29,11.29,11.39,11.42,11.43,11.58,11.6,11.67,11.7,11.67,11.69,11.73,11.53,11.55,11.62,11.57,11.66,11.41
242.4,4,0.4,06/11/2024 21:17,2.785,0.5447,-5.6,1.2792,17.03,-3.15,20.77,2.05,2.31,0.6,2.63,2.46,0.69,0.47,0.41,0.34,0.42,0.45,0.42,0.36,0.46,0.4,0.42,0.44,0.53,0.65,0.99,1.37,1.79,2.08,2.28,2.51,2.62,2.55,2.53,2.58,2.55,2.51,2.55,2.56,2.62,2.64,2.67,2.63,2.68,2.59,2.72,2.71,2.71,2.7,2.67,2.77
242.6,4,0.6,06/11/2024 21:17,2.931,0.6043,,1.2446,49.79,-7.45,26.35,16.01,18.24,8.99,18.63,19.2,9.22,6.87,7.01,7.15,7.26,7.27,7.16,7.23,7.08,7.22,7.28,7.65,8.06,9.5,11.28,14.12,16.82,18.61,19.31,19.34,19.23,19.39,19.39,19.17,19.15,18.97,18.76,18.74,18.67,18.59,18.64,18.44,18.53,18.56,18.44,18.54,18.72,18.61,18.7,18.27
242.8,4,0.8,06/11/2024 21:17,2.724,0.7404,0.2,1.1656,33.74,-3.59,2.05,7.13,7.89,7.99,7.8,8.06,7.43,6.66,6.73,6.83,7.01,7.15,7.2,7.2,7.21,7.14,7.19,7.29,7.42,7.55,7.78,7.93,8.07,8.22,8.29,8.37,8.33,8.18,7.94,7.66,7.46,7.31,7.2,7.07,6.99,6.99,7.09,7.21,7.6,8.37,9.37,10.6,11.46,11.99,12.25,12.41
243,4,1,06/11/2024 21:18,2.836,0.7607,-0.1,1.1539,32.75,-3.89,0.66,6.67,7.42,7.89,7.34,7.57,7.35,6.93,7,7.07,7.15,7.29,7.24,7.15,7.13,7.1,7.11,7.22,7.33,7.44,7.6,7.71,7.83,7.93,7.92,7.92,7.85,7.66,7.35,7.05,6.86,6.7,6.57,6.44,6.37,6.4,6.48,6.69,7.22,8.01,9.28,10.63,11.77,12.4,12.74,12.79
243.2,4,1.2,06/11/2024 21:18,2.783,0.7906,-0.3,1.1365,19.53,-3.8,1.01,2.53,2.87,2.98,2.95,2.95,2.79,2.63,2.67,2.65,2.75,2.76,2.75,2.67,2.69,2.62,2.67,2.71,2.79,2.86,2.9,2.99,3.09,3.15,3.14,3.14,3.09,2.99,2.84,2.66,2.58,2.49,2.45,2.41,2.38,2.39,2.46,2.57,2.88,3.37,4.06,4.98,5.74,6.2,6.51,6.53
243.4,4,1.4,06/11/2024 21:19,2.718,0.8376,-0.3,1.1093,28.98,-6.1,1.95,5.03,5.83,5.88,5.76,6.02,5.54,4.64,4.78,4.88,5.1,5.3,5.29,5.28,5.22,5.14,5.18,5.35,5.52,5.74,6.04,6.17,6.28,6.36,6.41,6.48,6.42,6.18,5.81,5.39,5.12,4.93,4.78,4.62,4.57,4.55,4.67,4.9,5.52,6.57,8.22,9.99,11.35,12.17,12.58,12.81
243.6,4,1.6,06/11/2024 21:20,2.76,0.9095,-0.2,1.0676,32.81,-4.74,0.66,6.61,7.45,7.92,7.33,7.62,7.4,6.88,6.94,7.05,7.2,7.34,7.29,7.2,7.13,7.06,7.1,7.24,7.37,7.53,7.72,7.86,7.97,8.07,8.05,8.06,7.95,7.73,7.37,6.98,6.73,6.56,6.4,6.27,6.19,6.18,6.33,6.51,7.13,8.15,9.57,11.29,12.55,13.33,13.73,13.89
243.8,4,1.8,06/11/2024 21:20,2.625,0.9693,,1.0329,31.47,-4.58,1.11,6.08,6.85,7.16,6.83,7,6.71,6.05,6.17,6.27,6.42,6.62,6.52,6.46,6.43,6.33,6.38,6.53,6.72,6.86,7.12,7.23,7.29,7.36,7.36,7.39,7.32,7.12,6.8,6.46,6.21,6.05,5.94,5.79,5.78,5.79,5.9,6.16,6.72,7.62,8.97,10.44,11.58,12.29,12.73,12.91
244,4,2,06/11/2024 21:20,2.682,1.0044,,1.0125,31.7,-1.73,0.06,6.44,6.95,7.55,6.93,7,7,6.5,6.58,6.64,6.79,6.97,6.94,6.95,6.96,6.85,6.83,6.91,6.96,7.03,7.21,7.2,7.14,7.13,7.14,7.21,7.17,7.02,6.89,6.77,6.67,6.6,6.54,6.52,6.57,6.55,6.58,6.68,6.84,7.26,7.68,8.4,8.85,9.21,9.55,9.71
